Name,City,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award, Converted MinPrice , Converted MaxPrice ,Country,Region
Ibaya,Soldeu,110,145,EUR,"Creative, Modern Cuisine",1.6709488,42.5755768,376870670,https://guide.michelin.com/en/canillo/soldeu/restaurant/ibaya,http://www.sporthotels.ad,1 MICHELIN Star,$121.61 ,$160.30 , Andorra,Europe
Celler d'en Toni,Andorra la Vella,72,72,EUR,Contemporary,1.531772,42.507145,376862750,https://guide.michelin.com/en/andorra-la-vella-region/andorra-la-vella/restaurant/celler-d-en-toni,http://www.cellerdentoni.com,Bib Gourmand,$79.60 ,$79.60 , Andorra,Europe
Amador,Vienna,265,265,EUR,"Creative, Contemporary",16.3586003,48.2540114,4.37E+11,https://guide.michelin.com/en/vienna/wien/restaurant/amador,http://www.restaurant-amador.com/,3 MICHELIN Stars,$292.96 ,$292.96 , Austria,Europe
SENNS.Restaurant,Salzburg,85,205,EUR,Creative,13.0634487,47.8360718,4.37E+11,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/senns-restaurant,https://www.senns.restaurant/,2 MICHELIN Stars,$93.97 ,$226.63 , Austria,Europe
Ikarus,Salzburg,140,210,EUR,Creative,13.007903,47.7935605,4366221970,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/ikarus,https://www.hangar-7.com/,2 MICHELIN Stars,$154.77 ,$232.16 , Austria,Europe
Silvio Nickol Gourmet Restaurant,Vienna,160,180,EUR,Modern Cuisine,16.3770073,48.2058003,43151818130,https://guide.michelin.com/en/vienna/wien/restaurant/silvio-nickol-gourmet-restaurant,https://www.palais-coburg.com/,2 MICHELIN Stars,$176.88 ,$198.99 , Austria,Europe
Steirereck im Stadtpark,Vienna,135,185,EUR,"Creative, Contemporary",16.3815669,48.2043967,4317133168,https://guide.michelin.com/en/vienna/wien/restaurant/steirereck-im-stadtpark,https://www.steirereck.at/,2 MICHELIN Stars,$149.24 ,$204.52 , Austria,Europe
Mraz & Sohn,Vienna,145,145,EUR,Creative,16.3762794,48.2313246,4313304594,https://guide.michelin.com/en/vienna/wien/restaurant/mraz-sohn,https://www.mrazundsohn.at/,2 MICHELIN Stars,$160.30 ,$160.30 , Austria,Europe
Konstantin Filippou,Vienna,56,189,EUR,Modern Cuisine,16.3797942,48.2107279,4315122229,https://guide.michelin.com/en/vienna/wien/restaurant/konstantin-filippou,https://www.konstantinfilippou.com/,2 MICHELIN Stars,$61.91 ,$208.94 , Austria,Europe
Esszimmer,Salzburg,45,128,EUR,"Creative, Classic Cuisine",13.0341933,47.8066955,43662870899,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/esszimmer,https://www.esszimmer.com/,1 MICHELIN Star,$49.75 ,$141.51 , Austria,Europe
The Glass Garden,Salzburg,63,163,EUR,Modern Cuisine,13.03569,47.8039566,4.37E+11,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/the-glass-garden,https://www.monchstein.at/,1 MICHELIN Star,$69.65 ,$180.20 , Austria,Europe
Pfefferschiff,Salzburg,65,189,EUR,Classic Cuisine,13.0790652,47.8379197,43662661242,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/pfefferschiff,https://www.pfefferschiff.at/,1 MICHELIN Star,$71.86 ,$208.94 , Austria,Europe
APRON,Vienna,99,135,EUR,"Creative, Seasonal Cuisine",16.3767832,48.199514,4319074747,https://guide.michelin.com/en/vienna/wien/restaurant/apron,https://www.restaurant-apron.at/,1 MICHELIN Star,$109.45 ,$149.24 , Austria,Europe
Walter Bauer,Vienna,59,79,EUR,Classic Cuisine,16.3768561,48.2092406,4315129871,https://guide.michelin.com/en/vienna/wien/restaurant/walter-bauer,,1 MICHELIN Star,$65.23 ,$87.34 , Austria,Europe
TIAN,Vienna,120,140,EUR,Vegetarian,16.3745163,48.2051767,4318904665,https://guide.michelin.com/en/vienna/wien/restaurant/tian,https://www.tian-restaurant.com/,1 MICHELIN Star,$132.66 ,$154.77 , Austria,Europe
SHIKI,Vienna,115,145,EUR,Japanese,16.3710135,48.2041253,4315127397,https://guide.michelin.com/en/vienna/wien/restaurant/shiki,https://www.shiki.at/,1 MICHELIN Star,$127.13 ,$160.30 , Austria,Europe
Edvard,Vienna,100,138,EUR,"Creative, Modern Cuisine",16.3681893,48.2162673,4312361000,https://guide.michelin.com/en/vienna/wien/restaurant/edvard,https://www.kempinski.com/vienna,1 MICHELIN Star,$110.55 ,$152.56 , Austria,Europe
[aend],Vienna,155,177,EUR,Modern Cuisine,16.3410168,48.1896429,4315953416,https://guide.michelin.com/en/vienna/wien/restaurant/aend,https://www.aend.at/,1 MICHELIN Star,$171.35 ,$195.68 , Austria,Europe
Pramerl & the Wolf,Vienna,110,130,EUR,Creative,16.3648326,48.2220879,4319464139,https://guide.michelin.com/en/vienna/wien/restaurant/pramerl-the-wolf,https://www.pramerlandthewolf.com/,1 MICHELIN Star,$121.61 ,$143.72 , Austria,Europe
Kilian Stuba,Hirschegg,110,140,EUR,Creative,10.1719794,47.3486576,4.36E+11,https://guide.michelin.com/en/styria/hirschegg/restaurant/kilian-stuba,https://www.travelcharme.com/,1 MICHELIN Star,$121.61 ,$154.77 , Austria,Europe
Brandstätter,Salzburg,75,75,EUR,"Country cooking, International",13.010198,47.8267276,43662434535,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/brandstatter,https://www.hotel-brandstaetter.com/,Bib Gourmand,$82.91 ,$82.91 , Austria,Europe
Gasthof Auerhahn,Salzburg,32,64,EUR,Country cooking,13.048637,47.8206463,43662451052,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/gasthof-auerhahn,https://www.auerhahn-salzburg.at/,Bib Gourmand,$35.38 ,$70.75 , Austria,Europe
Reinhartshuber Im Gwandhaus,Salzburg,31,84,EUR,Classic Cuisine,13.0576525,47.7793078,4.37E+12,https://guide.michelin.com/en/salzburg-region/salzburg/restaurant/reinhartshuber-im-gwandhaus,http://www.restaurant-reinhartshuber.at,Bib Gourmand,$34.27 ,$92.86 , Austria,Europe
DiningRuhm,Vienna,29,115,EUR,Fusion,16.3647424,48.1903564,4319452224,https://guide.michelin.com/en/vienna/wien/restaurant/diningruhm,https://www.diningruhm.at/,Bib Gourmand,$32.06 ,$127.13 , Austria,Europe
MAST Weinbistro,Vienna,43,69,EUR,Austrian,16.361521,48.2249667,4319226679,https://guide.michelin.com/en/vienna/wien/restaurant/mast-weinbistro,https://www.mast.wine/,Bib Gourmand,$47.54 ,$76.28 , Austria,Europe
Vestibül,Vienna,33,89,EUR,International,16.3613574,48.2107038,4315324999,https://guide.michelin.com/en/vienna/wien/restaurant/vestibul,https://www.vestibuel.at/,Bib Gourmand,$36.48 ,$98.39 , Austria,Europe
